City,Temperature,Humidity,Cloudiness,Wind_Speed,Latitude
daru,82.08,78,8,13.11,-9.0763
hermanus,57.99,74,75,4.0,-34.4187
chuy,60.62,86,0,6.53,-33.6971
vaini,78.8,73,75,17.27,-21.2
new norfolk,65.68,62,100,1.99,-42.7826
rikitea,75.96,79,97,9.04,-23.1203
lufilufi,83.75,94,75,8.05,-13.8745
kruisfontein,52.95,70,0,4.61,-34.0033
san ramon de la nueva oran,64.99,89,5,2.53,-23.1322
mataura,60.01,79,67,7.0,-46.1927
cape town,54.27,93,0,4.61,-33.9258
esperance,64.4,52,1,14.97,-33.8667
namibe,76.33,79,3,2.84,-15.1961
punta arenas,39.09,87,20,6.91,-53.15
kirakira,81.99,79,86,4.36,-10.4544
bredasdorp,42.8,93,3,4.61,-34.5322
atuona,79.74,68,9,7.99,-9.8
sao joao da barra,71.11,76,96,8.66,-21.6403
lima,66.81,88,0,4.61,-12.0432
port elizabeth,50.0,81,0,4.61,-33.918
kavieng,83.89,70,24,3.69,-2.5744
luderitz,74.8,26,0,19.44,-26.6481
busselton,64.44,73,25,1.01,-33.65
hobart,66.13,46,0,6.91,-42.8794
omboue,77.92,92,100,3.49,-1.5746
castro,54.57,97,13,5.17,-24.7911
bluff,60.01,79,99,7.0,-46.6
padang,86.0,66,20,2.3,-0.9492
te anau,57.42,62,0,1.32,-45.4167
faanui,80.85,66,5,3.76,-16.4833
ushuaia,37.4,81,40,5.75,-54.8
lakatoro,81.27,69,33,9.44,-16.0999
werda,53.24,44,0,7.9,-25.2667
hithadhoo,83.82,71,99,5.1,-0.6
ancud,47.59,87,20,6.91,-41.8697
