City,Country,Temperature,Humidity,Cloudiness,Wind_Speed,Latitude,Longitude
nicoya,CR,79.66,75,74,3.65,10.1483,-85.452
daru,PG,82.08,78,8,13.11,-9.0763,143.2092
dikson,RU,22.12,91,100,6.31,73.5069,80.5464
sale,MA,50.72,93,0,6.33,34.0389,-6.8166
hermanus,ZA,57.99,74,75,4.0,-34.4187,19.2345
mubi,NG,84.49,34,100,1.1,10.2676,13.2644
chuy,UY,60.62,86,0,6.53,-33.6971,-53.4616
vaini,TO,78.8,73,75,17.27,-21.2,-175.2
sao filipe,CV,72.34,71,9,9.71,14.8961,-24.4956
sitka,US,46.4,71,20,8.05,57.0531,-135.33
new norfolk,AU,65.68,62,100,1.99,-42.7826,147.0587
upernavik,GL,20.84,80,8,4.52,72.7868,-56.1549
nargana,PA,79.45,78,100,2.8,9.4428,-78.5906
erzurum,TR,33.8,86,0,2.3,40.0,41.5
dawei,MM,85.89,60,31,1.39,14.0833,98.2
rikitea,PF,75.96,79,97,9.04,-23.1203,-134.9692
marigot,MF,78.33,78,20,11.5,18.0667,-63.0833
pochutla,MX,82.99,71,99,5.01,15.7432,-96.4661
lufilufi,WS,83.75,94,75,8.05,-13.8745,-171.5986
kruisfontein,ZA,52.95,70,0,4.61,-34.0033,24.7314
aktau,KZ,55.4,44,0,8.95,43.65,51.2
berlevag,NO,31.59,67,99,12.33,70.8578,29.0864
asosa,ET,67.21,69,100,3.11,10.0667,34.5333
san ramon de la nueva oran,AR,64.99,89,5,2.53,-23.1322,-64.326
mataura,NZ,60.01,79,67,7.0,-46.1927,168.8643
kapaa,US,77.18,73,75,12.66,22.0752,-159.319
albany,US,45.77,55,99,2.71,42.6001,-73.9662
tiksi,RU,25.56,94,100,5.23,71.6872,128.8694
victoria,HK,80.35,81,88,3.65,22.2855,114.1577
cape town,ZA,54.27,93,0,4.61,-33.9258,18.4232
esperance,AU,64.4,52,1,14.97,-33.8667,121.9
san cristobal,VE,75.2,100,75,2.3,7.7669,-72.225
skovorodino,RU,52.93,41,85,6.82,53.9833,123.9167
alihe,CN,58.87,29,99,6.15,50.5667,123.7167
bud,US,64.67,57,99,13.35,39.447,-86.1758
namibe,AO,76.33,79,3,2.84,-15.1961,12.1522
punta arenas,CL,39.09,87,20,6.91,-53.15,-70.9167
kirakira,SB,81.99,79,86,4.36,-10.4544,161.9205
bredasdorp,ZA,42.8,93,3,4.61,-34.5322,20.0403
barrow,US,21.2,79,90,13.8,71.2906,-156.7887
glendive,US,66.15,22,1,8.05,47.1053,-104.7125
atuona,PF,79.74,68,9,7.99,-9.8,-139.0333
mizan teferi,ET,61.29,94,99,2.64,6.9833,35.5833
sao joao da barra,BR,71.11,76,96,8.66,-21.6403,-41.0511
the valley,AI,78.26,78,20,11.5,18.217,-63.0578
aswan,EG,82.08,16,0,10.16,24.0934,32.907
lima,PE,66.81,88,0,4.61,-12.0432,-77.0282
port elizabeth,ZA,50.0,81,0,4.61,-33.918,25.5701
kavieng,PG,83.89,70,24,3.69,-2.5744,150.7967
luderitz,NA,74.8,26,0,19.44,-26.6481,15.1594
busselton,AU,64.44,73,25,1.01,-33.65,115.3333
talnakh,RU,21.69,97,98,1.52,69.4865,88.3972
hobart,AU,66.13,46,0,6.91,-42.8794,147.3294
hilo,US,73.58,69,90,11.5,19.7297,-155.09
omboue,GA,77.92,92,100,3.49,-1.5746,9.2618
ilulissat,GL,35.6,75,9,4.61,69.2167,-51.1
cocentaina,ES,57.45,89,100,5.01,38.7398,-0.4398
castro,BR,54.57,97,13,5.17,-24.7911,-50.0119
tuktoyaktuk,CA,17.6,86,90,4.61,69.4541,-133.0374
paamiut,GL,37.76,61,59,9.17,61.994,-49.6678
matay,EG,76.96,24,0,8.41,28.419,30.7792
aklavik,CA,25.66,80,100,5.75,68.2191,-135.0107
bluff,NZ,60.01,79,99,7.0,-46.6,168.3333
ossora,RU,29.35,65,0,4.41,59.2353,163.0719
kavaratti,IN,84.24,73,71,1.66,10.5669,72.642
katsuura,JP,65.61,48,20,32.21,35.1333,140.3
jodhpur,IN,87.06,28,87,9.4,26.2867,73.03
padang,ID,86.0,66,20,2.3,-0.9492,100.3543
alexandria,EG,66.2,59,0,5.75,31.2156,29.9553
champerico,GT,65.8,96,99,1.01,14.3,-91.9167
te anau,NZ,57.42,62,0,1.32,-45.4167,167.7167
faanui,PF,80.85,66,5,3.76,-16.4833,-151.75
nouadhibou,MR,66.2,72,98,19.57,20.931,-17.0347
ushuaia,AR,37.4,81,40,5.75,-54.8,-68.3
kralendijk,BQ,80.6,78,20,12.66,12.15,-68.2667
cockburn town,TC,78.76,75,27,16.24,21.4612,-71.1419
cherskiy,RU,21.99,75,18,2.33,68.75,161.3
lakatoro,VU,81.27,69,33,9.44,-16.0999,167.4164
werda,BW,53.24,44,0,7.9,-25.2667,23.2833
coahuayana,MX,74.21,68,27,2.62,18.7333,-103.6833
the pas,CA,42.8,70,40,8.05,53.8251,-101.2541
qaanaaq,GL,28.06,54,32,7.07,77.484,-69.3632
haines junction,CA,46.4,42,95,9.22,60.7522,-137.5108
shieli,KZ,60.24,30,92,18.97,44.1667,66.75
nanakuli,US,79.9,57,20,12.66,21.3906,-158.1547
yerbogachen,RU,41.61,77,24,5.95,61.2767,108.0108
lomovka,RU,51.8,40,40,11.18,53.9194,58.3672
camargo,MX,69.94,28,0,7.18,27.6667,-105.1667
channel-port aux basques,CA,37.8,93,100,21.27,47.5702,-59.1367
nalut,LY,75.42,28,100,16.89,30.3333,10.85
kyabe,TD,81.14,54,95,4.88,9.4515,18.9449
saskylakh,RU,33.13,99,100,2.46,71.9167,114.0833
provideniya,RU,27.48,54,98,5.5,64.3833,-173.3
taos,US,65.05,15,1,9.22,36.4072,-105.5731
rizhao,CN,58.64,38,0,7.85,35.4275,119.4553
hithadhoo,MV,83.82,71,99,5.1,-0.6,73.0833
san patricio,US,69.6,94,40,5.75,28.017,-97.5169
ancud,CL,47.59,87,20,6.91,-41.8697,-73.8203
narsaq,GL,42.8,26,10,41.43,60.9167,-46.05
aojiang,CN,83.5,50,94,5.1,22.9421,116.0359
colon,PA,78.24,83,90,2.3,9.3592,-79.9014
tilichiki,RU,24.69,70,5,8.41,60.4667,166.1
wageningen,NL,38.82,87,90,3.44,51.9667,5.6667
basco,PH,80.19,79,92,9.75,20.4487,121.9702
tezu,IN,74.23,81,100,2.84,27.9167,96.1667
